Date,Peak Load (MW),Peak Load Hour,Wind @ Peak Load (MW),Max Wind Output (MW),Max Wind Time,Penetration @ Max Wind (%),Source_File,Curtailment Proxy (MW),Wind Utilization % @ Peak,Year,Month,DayOfWeek,Is_Weekend,Load-Wind Ratio,High Wind Day,Curtailment Severity
2012-05-15,39569.0,17.0,357.0,1353.0,04:06:00,5.32,ERCOTWindIntegrationReport_2012.xlsx,996.0,26.39,2012,5,1,0,110.52793296089385,0,Low
2012-05-16,46776.0,18.0,159.0,2816.0,00:00:00,9.08,ERCOTWindIntegrationReport_2012.xlsx,2657.0,5.65,2012,5,2,0,292.35,0,Medium
2012-05-17,49517.0,17.0,2944.0,6179.0,23:05:00,17.11,ERCOTWindIntegrationReport_2012.xlsx,3235.0,47.65,2012,5,3,0,16.813921901528012,0,Medium
2012-05-18,49071.0,17.0,6574.0,6988.0,21:35:00,16.95,ERCOTWindIntegrationReport_2012.xlsx,414.0,94.08,2012,5,4,0,7.463269961977186,1,None
2012-05-19,46483.0,17.0,3242.0,6952.0,21:56:00,17.54,ERCOTWindIntegrationReport_2012.xlsx,3710.0,46.63,2012,5,5,1,14.333333333333334,0,Medium
2012-05-20,47366.0,18.0,2117.0,6713.0,00:08:00,20.4,ERCOTWindIntegrationReport_2012.xlsx,4596.0,31.54,2012,5,6,1,22.363550519357887,0,Medium
2012-05-21,51992.0,17.0,824.0,3162.0,00:55:00,10.56,ERCOTWindIntegrationReport_2012.xlsx,2338.0,26.06,2012,5,0,0,63.02060606060606,0,Medium
2012-05-22,54169.0,17.0,4388.0,6736.0,23:33:00,17.79,ERCOTWindIntegrationReport_2012.xlsx,2348.0,65.14,2012,5,1,0,12.341991341991342,0,Medium
2012-05-23,53978.0,17.0,4782.0,7405.0,23:32:00,19.18,ERCOTWindIntegrationReport_2012.xlsx,2623.0,64.58,2012,5,2,0,11.285385741166632,0,Medium
2012-05-24,55577.0,17.0,2258.0,7304.0,00:00:00,19.74,ERCOTWindIntegrationReport_2012.xlsx,5046.0,30.91,2012,5,3,0,24.602478972996902,0,High
2012-05-25,55834.0,17.0,4796.0,7321.0,22:30:00,16.45,ERCOTWindIntegrationReport_2012.xlsx,2525.0,65.51,2012,5,4,0,11.639357932040859,0,Medium
2012-05-26,51202.0,17.0,6586.0,7102.0,00:00:00,18.05,ERCOTWindIntegrationReport_2012.xlsx,516.0,92.73,2012,5,5,1,7.773189615910126,1,Low
2012-05-27,49469.0,17.0,5912.0,6713.0,00:05:00,18.49,ERCOTWindIntegrationReport_2012.xlsx,801.0,88.07,2012,5,6,1,8.366142398105868,1,Low
2012-05-28,54379.0,18.0,3046.0,6584.0,00:17:00,18.68,ERCOTWindIntegrationReport_2012.xlsx,3538.0,46.26,2012,5,0,0,17.84673449294388,0,Medium
